,title_author,pages,genre,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark
108,The Winter of the Witch by Katherine Arden,384,"['fiction', 'fantasy', 'historical', 'literary']",4.49,14586,1,0.006999999999999999,0.0012,0.0015,0.0003,0.0001,0.0073,0.0025,0.0018,0.0001,0.0039000000000000003,0.0024,0.0011,0.0096,0.0015,0.0002,0.0036,0.0052
109,Siddhartha by Hermann Hesse,139,"['fiction', 'classics', 'philosophy']",3.79,32143,0,0.0011,0.0084,0.0002,0.0,0.0007000000000000001,0.0022,0.0031,0.006999999999999999,0.0017000000000000001,0.0001,0.0002,0.0092,0.0023,0.002,0.0014000000000000002,0.0008,0.0
111,Swordheart by T. Kingfisher,484,"['fiction', 'fantasy', 'romance']",4.21,3461,0,0.0054,0.0029,0.0015,0.0088,0.0067,0.0026,0.0024,0.0004,0.0007000000000000001,0.0006,0.0,0.0001,0.009300000000000001,0.0002,0.0,0.0008,0.0004
112,Plot Twist by Erin La Rosa,336,"['fiction', 'contemporary', 'romance']",3.44,1039,1,0.0037,0.0053,0.0009,0.0059,0.0059,0.006999999999999999,0.0042,0.0017000000000000001,0.0006,0.0005,0.0005,0.0022,0.0003,0.0008,0.0002,0.0,0.0002
113,Heartstopper Volume 5 by Alice Oseman,318,"['fiction', 'lgbtqia+', 'romance', 'young adult']",4.52,19400,1,0.0029,0.006500000000000001,0.0004,0.0044,0.0075,0.0072,0.0060999999999999995,0.0033,0.0022,0.0001,0.0005,0.0021,0.0005,0.0004,0.0007000000000000001,0.0,0.0001
114,Washington Black by Esi Edugyan,333,"['fiction', 'historical', 'literary']",3.92,7398,0,0.0049,0.004,0.001,0.0002,0.0001,0.006,0.0018,0.0019,0.0,0.0025,0.0039000000000000003,0.0053,0.0085,0.0034000000000000002,0.0009,0.0015,0.0040999999999999995
116,How to Stop Time by Matt Haig,336,"['fiction', 'historical', 'speculative fiction']",3.72,18887,0,0.0033,0.005699999999999999,0.0008,0.0007000000000000001,0.0011,0.0060999999999999995,0.0039000000000000003,0.0027,0.0005,0.0007000000000000001,0.0024,0.0068000000000000005,0.004699999999999999,0.0009,0.0005,0.003,0.0007000000000000001
117,That's Not What Happened by Kody Keplinger,336,"['fiction', 'contemporary', 'young adult']",3.66,2478,0,0.0036,0.0053,0.0008,0.0002,0.0,0.008100000000000001,0.0013,0.0012,0.0,0.0039000000000000003,0.0062,0.0048,0.0003,0.0032,0.0009,0.0012,0.0064
119,Sabriel by Garth Nix,496,"['fiction', 'fantasy', 'young adult']",4.12,19921,1,0.0044,0.0006,0.0049,0.0007000000000000001,0.0003,0.0025,0.0013,0.0007000000000000001,0.0,0.0033,0.0008,0.0004,0.0097,0.0007000000000000001,0.0,0.0048,0.006
120,A Terrible Kindness by Jo Browning Wroe,388,"['fiction', 'contemporary', 'historical']",4.19,1132,0,0.0026,0.0069,0.0003,0.0002,0.0,0.009399999999999999,0.0053,0.0027,0.0001,0.0005,0.0076,0.0067,0.0,0.0028000000000000004,0.0012,0.0001,0.002
121,Redeeming Love by Francine Rivers,464,"['fiction', 'historical', 'romance']",4.35,10984,0,0.0027,0.0068000000000000005,0.0002,0.0001,0.0003,0.0089,0.0068000000000000005,0.006999999999999999,0.0,0.0024,0.005,0.0048,0.0012,0.0032,0.0003,0.0002,0.0031
122,Chains by Laurie Halse Anderson,316,"['fiction', 'historical', 'middle grade']",4.02,3918,1,0.0053,0.0034000000000000002,0.0012,0.0,0.0002,0.0074,0.0022,0.0027,0.0,0.0053,0.0043,0.003,0.0055000000000000005,0.0046,0.0038,0.0005,0.0042
