,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism
6380,448,4.2,14245,1,0.6799999999999999,0.06999999999999999,0.22999999999999998,0.59,0.2,0.69,0.11,0.06999999999999999,0.02,0.24,0.40999999999999,0.06999999999999999,0.95,0.16,0.02,0.15,0.19,27,4.229230769230769,1,0,0,1,0,0,1,0,0
6381,460,4.2,5799,1,0.27,0.69,0.03,0.40999999999999,0.32,0.86,0.67,0.27999999999999997,0.05,0.05,0.08,0.27,0.26,0.06999999999999999,0.02,0.02,0.03,9,3.8312500000000003,1,0,1,0,0,1,0,1,0
6382,400,3.61,1416,0,0.52,0.32,0.13999999999999999,0.01,0.0,0.5,0.04,0.02,0.0,0.5,0.24,0.4,0.06,0.51,0.02,0.49,0.86,1,0.0,1,0,0,0,1,0,0,0,1
6383,274,3.56,3925,0,0.45999999999999996,0.2,0.3,0.0,0.0,0.26,0.0,0.0,0.0,0.64,0.2,0.18,0.04,0.38999999999999996,0.05,0.6999999999999901,0.9199999999999999,2,3.7600000000000002,1,0,0,1,0,0,0,0,0
6384,375,3.94,7523,1,0.44,0.04,0.51,0.60999999999999,0.16999999999999998,0.09,0.0,0.0,0.01,0.21,0.04,0.02,0.83,0.04,0.01,0.79,0.38999999999999996,4,3.983333333333334,1,0,0,1,1,0,0,0,0
6385,436,3.96,4983,1,0.33999999999999997,0.54,0.1,0.16999999999999998,0.12,0.95,0.25,0.09,0.03,0.22999999999999998,0.73,0.16,0.05,0.19,0.0,0.01,0.27999999999999997,1,0.0,1,0,0,0,0,0,0,1,1
6386,500,4.03,2249,1,0.53,0.32,0.12,0.65,0.37,0.3,0.08,0.03,0.04,0.16,0.02,0.01,0.59,0.08,0.01,0.59,0.22,1,0.0,1,0,0,1,0,0,0,1,0
6387,275,4.04,73894,0,0.43,0.38999999999999996,0.13999999999999999,0.5499999999999999,0.05,0.3,0.05,0.04,0.0,0.11,0.31,0.65,0.24,0.3,0.09,0.13999999999999999,0.70999999999999,9,3.96375,1,0,1,1,0,0,0,0,0
6388,322,3.32,1521,0,0.33999999999999997,0.52,0.12,0.6,0.60999999999999,0.32,0.16999999999999998,0.06,0.05,0.04,0.06,0.27999999999999997,0.27999999999999997,0.02,0.03,0.01,0.01,1,0.0,1,0,0,0,0,0,0,1,1
6389,464,3.67,2571,0,0.62,0.12,0.25,0.12,0.04,0.36,0.16,0.08,0.02,0.27,0.09,0.05,0.97,0.13999999999999999,0.0,0.33999999999999997,0.22,1,0.0,1,0,0,1,0,0,1,0,0
6390,576,4.12,27547,0,0.37,0.56999999999999,0.04,0.06999999999999999,0.0,0.77,0.11,0.11,0.0,0.26,0.49,0.70999999999999,0.4,0.53,0.33,0.05,0.45999999999999996,7,3.9683333333333333,1,0,1,0,0,0,0,0,0
6391,264,3.62,1675,0,0.29,0.56999999999999,0.11,0.0,0.06999999999999999,0.70999999999999,0.3,0.06999999999999999,0.05,0.2,0.26,0.08,0.43,0.06,0.0,0.26,0.52,1,0.0,1,0,0,1,0,1,0,1,0
6392,169,3.7,1635,1,0.52,0.08,0.38999999999999996,0.09,0.21,0.11,0.18,0.03,0.08,0.09,0.0,0.16,0.73,0.05,0.02,0.8500000000000001,0.02,1,0.0,1,0,0,1,1,1,0,0,0
6393,322,3.98,1222,0,0.64,0.27,0.06999999999999999,0.13999999999999999,0.01,0.38999999999999996,0.04,0.01,0.0,0.56999999999999,0.06999999999999999,0.04,0.22999999999999998,0.22999999999999998,0.01,0.5,0.98999999999999,1,0.0,1,0,0,0,0,0,0,1,0
6394,220,3.77,2388,0,0.25,0.05,0.69,0.03,0.01,0.05,0.01,0.0,0.0,0.46999999999999,0.05,0.3,0.16999999999999998,0.19,0.02,0.83,0.59,3,3.83,1,0,1,1,0,0,0,0,0
6395,355,4.34,19667,1,0.62,0.06999999999999999,0.29,0.86,0.59,0.25,0.16,0.06999999999999999,0.1,0.11,0.04,0.06999999999999999,0.64,0.02,0.01,0.81999999999999,0.03,5,4.29,1,0,0,0,1,0,0,0,0
6396,158,3.32,1236,0,0.38,0.19,0.4,0.58,0.06,0.08,0.0,0.0,0.0,0.45999999999999996,0.04,0.0,0.16999999999999998,0.06,0.0,0.51,0.8099999999999999,1,0.0,1,0,0,0,0,0,0,0,0
6397,416,3.84,4191,0,0.5499999999999999,0.22999999999999998,0.19,0.0,0.03,0.58,0.08,0.18,0.03,0.22,0.29,0.4,0.27999999999999997,0.11,0.1,0.8,0.24,4,3.796666666666667,1,0,1,0,1,0,0,0,0
6398,180,3.46,2672,0,0.37,0.48,0.13,0.01,0.0,0.40999999999999,0.19,0.04,0.0,0.26,0.13999999999999999,0.7799999999999999,0.03,0.45999999999999996,0.02,0.21,0.27999999999999997,3,3.77,1,0,1,1,0,0,0,0,0
6399,149,3.55,3861,0,0.54,0.26,0.19,0.18,0.02,0.48,0.0,0.01,0.0,0.43,0.33,0.16,0.22999999999999998,0.44,0.06,0.05,0.44999999999999996,17,3.686875,1,1,1,0,0,0,0,0,0
6400,720,4.15,2698,0,0.25,0.6999999999999901,0.04,0.27,0.5,0.67,0.34999999999999,0.12,0.32,0.02,0.13,0.56999999999999,0.02,0.04,0.01,0.02,0.0,3,3.875,1,0,1,0,0,0,0,1,0
6401,282,3.93,3625,0,0.5,0.19,0.29,0.0,0.0,0.45999999999999996,0.0,0.0,0.0,0.56999999999999,0.43,0.22999999999999998,0.22999999999999998,0.16999999999999998,0.0,0.75,0.96,1,0.0,1,0,0,1,0,0,0,0,0
6402,393,3.72,1341,0,0.0,0.0,0.0,0.4,0.01,0.19,0.0,0.0,0.0,0.33,0.31,0.08,0.02,0.51,0.0,0.15,0.95,2,4.039999999999999,1,0,0,0,1,0,0,0,1
6403,188,3.91,13089,1,0.38999999999999996,0.27999999999999997,0.3,0.8999999999999999,0.70999999999999,0.06,0.08,0.04,0.12,0.0,0.01,0.06999999999999999,0.75,0.01,0.01,0.1,0.0,1,0.0,1,0,0,1,0,0,0,0,0
6404,417,3.77,2841,1,0.45999999999999996,0.03,0.5,0.0,0.0,0.13999999999999999,0.0,0.0,0.0,0.6999999999999901,0.11,0.0,0.21,0.13,0.01,0.88,0.73,1,0.0,1,0,0,0,1,0,0,0,0
6405,368,3.66,1063,0,0.0,0.0,0.0,0.27999999999999997,0.03,0.06,0.06,0.09,0.0,0.01,0.05,0.48,0.05,0.33,0.97,0.0,0.18,1,0.0,0,1,0,0,0,1,0,0,1
6406,321,3.87,2037,1,0.51,0.06,0.40999999999999,0.0,0.0,0.33,0.01,0.0,0.0,0.8,0.19,0.02,0.16999999999999998,0.21,0.0,0.8099999999999999,0.89,1,0.0,1,0,0,0,1,0,0,0,0
6407,298,3.92,1046,0,0.42,0.45999999999999996,0.1,0.18,0.15,0.63,0.3,0.02,0.03,0.34999999999999,0.12,0.01,0.62,0.11,0.0,0.06,0.46999999999999,4,3.6333333333333333,1,0,0,1,0,0,0,1,0
6408,346,4.18,4415,0,0.24,0.72,0.02,0.18,0.43,0.5,0.54,0.27,0.1,0.0,0.08,0.27999999999999997,0.7799999999999999,0.03,0.0,0.36,0.01,2,3.5700000000000003,1,0,0,1,0,0,0,0,0
6409,331,4.01,15409,1,0.46999999999999,0.19,0.31,0.01,0.0,0.38999999999999996,0.08,0.05,0.0,0.6,0.38999999999999996,0.5599999999999999,0.09,0.5,0.01,0.26,0.86,6,3.934,1,0,1,1,0,0,0,0,0
6410,347,3.79,1296,1,0.60999999999999,0.08,0.3,0.09,0.01,0.16999999999999998,0.04,0.03,0.0,0.44,0.06999999999999999,0.09,0.9199999999999999,0.16999999999999998,0.0,0.56999999999999,0.56999999999999,1,0.0,1,0,0,1,0,0,0,0,0
6411,288,3.62,9293,1,0.51,0.3,0.16,0.44999999999999996,0.04,0.05,0.0,0.0,0.0,0.5,0.01,0.04,0.13999999999999999,0.06,0.0,0.6799999999999999,0.95,1,0.0,1,0,0,0,1,0,0,0,0
6412,336,3.77,1842,0,0.60999999999999,0.06999999999999999,0.31,0.0,0.0,0.43,0.03,0.02,0.0,0.52,0.36,0.13,0.43,0.16999999999999998,0.16999999999999998,0.88,0.7799999999999999,3,3.955,1,0,1,0,1,0,1,0,0
6413,431,4.05,10973,1,0.6,0.26,0.13,0.11,0.0,0.38,0.09,0.04,0.0,0.45999999999999996,0.27,0.45999999999999996,0.60999999999999,0.38,0.05,0.3,0.77,15,3.811428571428572,1,0,0,1,0,0,0,0,0
6414,72,4.26,101075,0,0.26,0.63,0.08,0.16999999999999998,0.44999999999999996,0.5599999999999999,0.44999999999999996,0.58,0.2,0.0,0.25,0.69,0.46999999999999,0.05,0.03,0.06999999999999999,0.01,3,4.26,1,0,1,1,0,0,1,0,0
6415,348,3.49,1242,1,0.42,0.11,0.40999999999999,0.08,0.21,0.22,0.16,0.06,0.02,0.22,0.01,0.01,0.97,0.08,0.0,0.25,0.06999999999999999,2,3.5199999999999996,1,0,0,1,0,0,1,0,0
6416,384,3.78,1382,1,0.44999999999999996,0.06,0.48,0.09,0.05,0.27,0.1,0.13,0.0,0.36,0.06,0.02,0.97,0.16999999999999998,0.02,0.29,0.19,1,0.0,1,0,1,1,0,0,1,0,0
