,stars,index_0,reflective_boxcox,mix_qt,inspiring_log,informative_boxcox,funny_qt,emotional_boxcox,challenging_mm,author_stars,Crime_author_stars,Fantasy_author_stars,Fantasy_inspiring_log,Fantasy_mix_qt,Fiction_adventurous_qt,Fiction_author_count_ss,Fiction_challenging_mm,Fiction_character_ss,Fiction_dark_ss,Fiction_emotional_boxcox,Fiction_hopeful_rs,Fiction_mysterious_rs,Fiction_pages_qt,Fiction_plot_qt,Fiction_reviews_boxcox,Fiction_sad_mm,Fiction_tense,Literary_author_stars,Literary_emotional_boxcox,Literary_hopeful_rs,Literary_inspiring_log,Literary_mysterious_rs,Nonfiction_author_stars,Nonfiction_challenging_mm,Romans_author_stars,Social_author_stars,series_author_count_ss,series_author_stars,series_mix_qt,lighthearted_mm_relaxing
20,3.75,20,0.8081655523684459,0.7427427427427428,-1.5141277326297755,0.9001975067293795,0.16666666666666666,1.0145312835519062,0.5937499999999896,3.755,0.0,3.755,-1.5141277326297755,0.7427427427427428,0.8108108108108107,-0.22940234922121355,0.5937499999999896,-0.37382820464632127,-0.4356958133603053,1.0145312835519062,0.15384615384615344,-0.05769230769230769,0.9424424424424425,0.7362362362362362,-3.1541561744908,0.07446808510638366,0.32,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.22940234922121355,3.755,0.7427427427427428,0.01
21,3.68,21,1.5118635817430077,0.508008008008008,0.0,-0.0,0.7482482482482482,0.9972815868315036,0.09375,0.0,0.0,0.0,0.0,0.0,0.33483483483483484,-0.5157936805314298,0.09375,0.531221534746041,1.7061870985377292,0.9972815868315036,-0.5,0.2884615384615385,0.16916916916916916,0.5565565565565564,-3.3058963867633575,0.0851063829787243,0.48,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.05
22,3.76,22,1.4716965633850552,0.6806806806806807,0.0,-0.0,0.3203203203203203,1.0499930431647195,0.21875,4.073333333333333,0.0,4.073333333333333,0.0,0.6806806806806807,0.30930930930930933,-0.08620668356610546,0.21875,-0.8263530743425026,1.9234795678607184,1.0499930431647195,-0.5,1.076923076923077,0.1026026026026026,0.8433433433433433,-3.2038400000630385,0.18085106382978905,0.5599999999999999,4.073333333333333,1.0499930431647195,-0.5,0.0,1.076923076923077,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
23,4.06,23,0.39224981061287195,0.0,-1.0498221244987063,0.6458097945773527,0.8888888888888888,1.1255998845466828,0.020833333333333336,4.23,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,4.23,1.1255998845466828,-0.15384615384615388,-1.0498221244987063,-0.34615384615384615,4.23,0.020833333333333336,0.0,0.0,-0.0,0.0,0.0,1.13
24,4.18,24,1.9467634220137615,0.8203203203203203,-2.4079456086518722,-0.0,0.8213213213213213,0.7941705980197227,0.0625,4.0633333333333335,0.0,4.0633333333333335,-2.4079456086518722,0.8203203203203203,0.9039039039039038,1.6321413042951916,0.0625,-0.6755114511104425,0.7438918772502066,0.7941705980197227,0.5,0.25,0.31981981981981983,0.8078078078078078,-3.2407001363239583,0.07446808510638366,0.16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
25,4.03,25,0.5975404769434852,0.0,-1.0216512475319814,0.39713129694650884,0.9814814814814814,1.1664307867849937,0.05208333333333334,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.05208333333333334,0.0,0.0,-0.0,0.0,0.0,0.42
26,4.31,26,0.8081655523684459,0.476976976976977,-1.3093333199837622,5.335657209611515,0.3833833833833834,0.08107210796999853,0.21875,0.0,0.0,0.0,-0.0,0.0,0.544044044044044,-0.5157936805314298,0.21875,0.757483969594132,-0.18736156270546067,0.08107210796999853,1.307692307692269,0.19230769230769215,0.8368368368368369,0.45095095095095095,-3.0159687269511464,0.4468085106383026,0.21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.04
27,4.18,27,1.8105148217489204,0.4624624624624625,-2.0402208285265546,-0.0,0.942942942942943,0.45558141542751135,0.03125,3.7642857142857142,0.0,0.0,-0.0,0.0,0.30930930930930933,0.4865759790543269,0.03125,0.9083255928261922,-1.025489658665561,0.45558141542751135,0.6153846153846153,-0.32692307692307687,0.8788788788788788,0.3483483483483483,-3.190057478863551,0.0851063829787243,0.04,0.0,0.0,0.0,-0.0,-0.0,3.7642857142857142,0.03125,3.7642857142857142,0.0,0.4865759790543269,3.7642857142857142,0.4624624624624625,0.94
28,3.27,28,1.0707773043404711,0.7427427427427428,-3.912023005428146,4.625020008051503,0.0,1.0320935726744016,0.2916666666666666,0.0,0.0,0.0,-3.912023005428146,0.7427427427427428,0.6841841841841843,-0.5157936805314298,0.2916666666666666,-0.26069698722227597,1.0543096905687623,1.0320935726744016,-0.2692307692307693,0.6923076923076924,0.3238238238238238,0.7047047047047047,-3.0947694686097327,0.2127659574468108,0.4,0.0,1.0320935726744016,-0.2692307692307693,-3.912023005428146,0.6923076923076924,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
29,4.43,29,1.2047724462877745,0.576076076076076,-1.6094379124341003,-0.0,0.8938938938938938,0.33943027745467585,0.05208333333333334,0.0,0.0,0.0,-0.0,0.0,0.552052052052052,-0.5157936805314298,0.05208333333333334,0.531221534746041,-1.0875732213292724,0.33943027745467585,0.923076923076923,-0.34615384615384615,0.2017017017017017,0.4169169169169169,-3.071118004846194,0.04255319148936215,0.1699999999999999,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.7599999999999999
30,4.17,30,2.027599243784499,0.8003003003003002,0.0,-0.0,0.3203203203203203,0.9472040820410473,0.16666666666666669,4.06,0.0,4.06,0.0,0.8003003003003002,0.7472472472472472,1.2025543073298672,0.16666666666666669,-0.14756576979823097,1.7372288798695852,0.9472040820410473,-0.46153846153846156,0.6346153846153846,0.7247247247247247,0.5810810810810811,-3.2651139802668645,0.0851063829787243,0.6999999999999901,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2025543073298672,4.06,0.8003003003003002,0.0
31,4.14,31,2.3768450185740457,0.7427427427427428,-2.2072749131897207,4.625020008051503,0.9124124124124124,1.0145312835519062,0.10416666666666669,4.231538461538461,0.0,4.231538461538461,-2.2072749131897207,0.7427427427427428,0.9839839839839839,3.2072936265013805,0.10416666666666669,-1.0526155091905933,-1.025489658665561,1.0145312835519062,0.03846153846153807,0.09615384615384596,0.27927927927927926,0.9219219219219219,-3.328411602319842,0.010638297872340538,0.16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.2072936265013805,4.231538461538461,0.7427427427427428,0.53
32,3.72,32,2.121078538340599,0.8893893893893894,-4.605170185988091,6.6561291047422255,0.5245245245245245,0.4436901384674643,0.13541666666666669,3.610588235294117,0.0,3.610588235294117,-4.605170185988091,0.8893893893893894,0.6191191191191191,1.9185326356054078,0.13541666666666669,-0.26069698722227597,0.9301425652413402,0.4436901384674643,-0.07692307692307694,0.25,0.6571571571571572,0.532032032032032,-3.1376185986355565,0.04255319148936215,0.5499999999999999,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,3.610588235294117,3.610588235294117,1.9185326356054078,3.610588235294117,0.8893893893893894,0.09
33,4.12,33,1.5541527074396086,0.30680680680680683,-1.7147984280919266,6.6561291047422255,0.95995995995996,0.4084002920164081,0.010416666666666668,3.9099999999999993,0.0,0.0,-0.0,0.0,0.2147147147147147,0.20018464774411074,0.010416666666666668,1.4362712741383665,-1.0875732213292724,0.4084002920164081,1.1923076923076923,-0.34615384615384615,0.7127127127127126,0.27377377377377377,-3.2811508050086275,0.021276595744681076,0.01,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.9099999999999993,3.9099999999999993,0.20018464774411074,3.9099999999999993,0.30680680680680683,0.9500000000000001
34,4.16,34,1.8751226446130165,0.3323323323323323,-2.120263536200091,-0.0,0.9259259259259259,0.32813008087332546,0.010416666666666668,4.35,0.0,0.0,-0.0,0.0,0.17267267267267267,-0.37259801487632166,0.010416666666666668,1.3608504625223734,-1.0875732213292724,0.32813008087332546,1.1923076923076923,-0.34615384615384615,0.5245245245245245,0.23673673673673673,-3.030837770058402,0.04255319148936215,0.0,0.0,0.0,0.0,-0.0,-0.0,4.35,0.010416666666666668,4.35,4.35,-0.0,0.0,0.0,0.92999999999999
35,4.27,35,0.4195233799860886,0.28378378378378377,-0.9942522733438669,2.6203419263291403,0.41241241241241244,0.11205596907312755,0.4375,0.0,0.0,0.0,-0.0,0.0,0.2147147147147147,-0.5157936805314298,0.4375,1.5871128973704642,0.09201446928123957,0.11205596907312755,1.2692307692307687,-0.32692307692307687,0.2247247247247247,0.1996996996996997,-3.2967023845415304,0.6170212765957512,0.15,0.0,0.11205596907312755,1.2692307692307687,-0.9942522733438669,-0.32692307692307687,0.0,0.0,0.0,0.0,-0.5157936805314298,0.0,0.28378378378378377,0.02
36,3.73,36,-0.0,0.576076076076076,-2.8134107167600364,-0.0,0.8888888888888888,1.3100990069937222,0.020833333333333336,4.07,0.0,4.07,-2.8134107167600364,0.576076076076076,0.9374374374374375,-0.08620668356610546,0.020833333333333336,-0.7886426685344875,-1.0875732213292724,1.3100990069937222,0.0,-0.01923076923076941,0.6916916916916918,0.9319319319319319,-3.193544743083555,0.0,0.01,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.08620668356610546,4.07,0.576076076076076,0.9299999999999999
37,4.36,37,0.2400138852777827,0.9034034034034034,-1.3470736479666092,1.041961297684551,0.43843843843843844,0.2834473887154819,0.5104166666666667,4.023333333333333,0.0,4.023333333333333,-1.3470736479666092,0.9034034034034034,0.6116116116116116,-0.08620668356610546,0.5104166666666667,-0.8263530743425026,0.3713905012679086,0.2834473887154819,0.34615384615384615,0.09615384615384596,0.8423423423423424,0.6481481481481481,-3.163860335432769,0.4361702127659514,0.1699999999999999,4.023333333333333,0.2834473887154819,0.34615384615384615,-1.3470736479666092,0.09615384615384596,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.04
